epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,235.107,1.02108,0.56678,1.01817,0.94049,0.94565,0.97456,0.85758,0.56036,0.3771,0.9015,0.0011882,0.0011882,0.0011882
43,240.578,0.97725,0.54818,1.02033,0.95711,0.91304,0.97752,0.81232,0.6825,0.40839,0.9553,0.0011684,0.0011684,0.0011684
44,245.816,0.97222,0.54987,1.00932,0.99379,0.8913,0.97739,0.83257,0.64892,0.40861,0.92982,0.0011486,0.0011486,0.0011486
45,251.082,0.99461,0.54882,1.00891,0.91685,0.92391,0.97434,0.83132,0.64965,0.39149,0.93858,0.0011288,0.0011288,0.0011288
46,256.708,0.96229,0.52702,1.00593,0.95548,0.95652,0.98298,0.81777,0.68985,0.39141,0.95771,0.001109,0.001109,0.001109
47,261.916,0.96516,0.53746,1.01158,0.95226,0.94565,0.97925,0.83736,0.64887,0.39143,0.94013,0.0010892,0.0010892,0.0010892
48,267.118,0.9775,0.54427,1.00116,0.95371,0.95652,0.98451,0.83769,0.62869,0.38016,0.9349,0.0010694,0.0010694,0.0010694
49,272.348,0.94471,0.53165,1.00424,0.95547,0.93301,0.98128,0.81322,0.68378,0.39782,0.95771,0.0010496,0.0010496,0.0010496
50,277.565,0.96647,0.528,1.00586,0.9885,0.93429,0.98103,0.84759,0.61383,0.36105,0.91874,0.0010298,0.0010298,0.0010298
51,283.102,0.95658,0.51889,0.99775,0.99819,0.96739,0.9852,0.84508,0.61409,0.33013,0.92116,0.00101,0.00101,0.00101
52,288.295,0.94297,0.51772,0.98836,0.9446,0.94565,0.97919,0.84419,0.5883,0.37229,0.91409,0.0009902,0.0009902,0.0009902
53,293.661,0.95411,0.50804,0.99355,0.97167,0.97826,0.98617,0.83354,0.64718,0.33915,0.93401,0.0009704,0.0009704,0.0009704
54,298.943,0.94608,0.51025,0.98592,0.96769,0.97674,0.98528,0.82976,0.61637,0.34786,0.92259,0.0009506,0.0009506,0.0009506
55,304.198,0.95038,0.50453,0.99077,1,0.96523,0.98615,0.84227,0.63303,0.34157,0.93805,0.0009308,0.0009308,0.0009308
56,309.547,0.93412,0.51268,0.98445,0.9782,0.97537,0.98638,0.86048,0.57749,0.31447,0.90146,0.000911,0.000911,0.000911
57,314.788,0.92345,0.49322,0.98386,0.98894,0.9717,0.98718,0.85445,0.60725,0.34063,0.91663,0.0008912,0.0008912,0.0008912
58,320,0.90935,0.49146,0.97812,0.97551,0.96739,0.98807,0.845,0.66177,0.33073,0.9265,0.0008714,0.0008714,0.0008714
59,325.563,0.91243,0.49247,0.98431,0.94705,0.972,0.97733,0.86162,0.62024,0.33216,0.9194,0.0008516,0.0008516,0.0008516
60,330.79,0.89247,0.48886,0.97833,1,0.95431,0.98861,0.84374,0.64836,0.33549,0.92889,0.0008318,0.0008318,0.0008318
61,336.118,0.89831,0.48024,0.97836,0.9984,0.95652,0.98634,0.8491,0.57426,0.30403,0.90687,0.000812,0.000812,0.000812
62,341.401,0.91638,0.48253,0.97229,0.97774,0.95501,0.98611,0.859,0.58459,0.31513,0.9087,0.0007922,0.0007922,0.0007922
63,346.616,0.90416,0.47552,0.97213,0.98061,0.97826,0.98727,0.85888,0.5949,0.3241,0.90711,0.0007724,0.0007724,0.0007724
64,351.855,0.90533,0.47965,0.98085,0.97529,0.97826,0.98552,0.85258,0.59417,0.30812,0.90659,0.0007526,0.0007526,0.0007526
65,357.217,0.88677,0.47718,0.96747,1,0.98119,0.98739,0.85485,0.57571,0.30222,0.90139,0.0007328,0.0007328,0.0007328
66,362.664,0.89417,0.46992,0.97598,0.98865,0.96739,0.98774,0.86782,0.56677,0.28969,0.89792,0.000713,0.000713,0.000713
67,368.077,0.89937,0.47017,0.97028,0.98899,0.97659,0.99278,0.86307,0.58882,0.29409,0.90346,0.0006932,0.0006932,0.0006932
68,373.313,0.88212,0.46178,0.9636,0.9777,0.95319,0.99007,0.85822,0.56907,0.30902,0.89955,0.0006734,0.0006734,0.0006734
69,378.729,0.88735,0.46928,0.96876,0.98478,0.97826,0.99023,0.84843,0.6142,0.32707,0.91999,0.0006536,0.0006536,0.0006536
70,383.961,0.87152,0.45698,0.96465,1,0.93454,0.986,0.87915,0.55023,0.30781,0.89397,0.0006338,0.0006338,0.0006338
71,389.414,0.90135,0.46882,0.97195,0.97796,0.96478,0.99232,0.8673,0.56018,0.29626,0.89557,0.000614,0.000614,0.000614
72,394.721,0.88517,0.45588,0.95944,0.98887,0.96612,0.99241,0.8864,0.51943,0.28486,0.87973,0.0005942,0.0005942,0.0005942
73,400.017,0.84904,0.44879,0.95856,0.95658,0.95782,0.98217,0.86994,0.58391,0.30925,0.90098,0.0005744,0.0005744,0.0005744
74,405.215,0.85501,0.4464,0.95768,0.95736,0.97624,0.99021,0.87006,0.57002,0.3049,0.897,0.0005546,0.0005546,0.0005546
